Formlabs,單價,重量,
Clear Resin V4,9975,1,L
Black / White / Grey Resin V4,9975,1,L
Grey Pro Resin,13650,1,L
Tough 1500 Resin  V1,13650,1,L
Flexible 80A Resin  V1,13650,1,L
High Temp V2 Resin,13650,1,L
Rigid 4000 Resin  V1,14700,1,L
Rigid 10K Resin  V1,19320,1,L
Tough 2000 Resin  V1,13650,1,L
Durable Resin V2,13650,1,L
Flexible 80A Resin  V1.1(Form4),13000,1,L
Elastic 50A Resin  V2 (Form4),13000,1,L
Clear Resin V5 (Form4),6000,1,L
Black / White / Grey Resin V5 (Form4),6000,1,L
Tough 1500  V2Resin (Form4),13000,1,L
Tough 1000 Resin (Form4),13000,1,L
Tough 2000 V2Resin (Form4),13000,1,L
Rigid 4000 Resin (Form4),14000,1,L
High Temp (Form4),13000,1,L
 Flame Retardant Resin (Form 4),15100,1,L
Rigid 10K Resin (Form4),18400,1,L
